ResponseId,Q19,Q21,Q22,Q24,Q46,Q25,Q26,Q27,Q29
R_BGsuiDtfSpfszwR,It would monitor what we are saying to give real time statistics into our conversations. The primary benefit would be in retrieving a transcript of the conversation.,Neutral,,Neutral,Agree,Disagree,Neutral,No,No
R_ApM8GmaqSahhY77,"The data capture platform described in the video is used to analyze a collaborative conversation. It records the conversation transcript and provides data insights on the types of words, different speakers, etc.",Neutral,,Disagree,Disagree,Agree,Neutral,No,Maybe
R_1rCxtQPuxNPiNl0,"Collaborative learning and for supporting learning, really interesting and a tool I can definitely see myself using",Disagree,,Disagree,Agree,Strongly disagree,Disagree,Yes,Yes
R_XuF9ngNLHK0tuTv,The Blinc platform provides learning groups with a data analysis toolkit for collecting conversation. It uses a respeaker or computer to take input in the form of audio input and processing it. The platform determines trends or topics in the speech.,Neutral,,Neutral,Neutral,Disagree,Neutral,No,Maybe
R_xneQiVtX0IZBwlP,,,,,,,,,
R_10BClJ7XamtOYZP,,,,,,,,,
R_1OIfTAAOmwr7aWI,,,,,,,,,
R_3nqLdcjnMETd1Rv,,,,,,,,,
R_Rt2iLsAuTmR5Zm1,,,,,,,,,
R_2qh243BfD86Kbyv,,,,,,,,,
R_1gINAlRSXv0Xixz,No comment. .                                                     .                                                       .                                                      ,Neutral,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_0pmjCebYI0HSB3P,"Let everyone show themselves publicly, and other students can understand others more directly to improve themselves",Agree,,Neutral,Neutral,Neutral,Agree,No,Maybe
R_12PcLTnA7K58yrd,"It appears to give both live feedback on the nature of a discussion which is also recorded for future reference. This allows users to be evaluated for their contributions in a variety of categories which may more effectively inform users how to improve their group collaborations in the future (eg. dominating the conversation, lots of emotional verbiage, lack of novel or intellectual contributions, etc.)",Neutral,"Since it sounds like this data is collected from a microphone array placed in a physical room, I wonder how it would appropriately identify users if there are many (above 4) around a single device, particularly if two users are located by a singular microphone but with drastically different contributions. Additionally, it seems like a form of sentiment analysis is being done on the transcript of the audio, but many discussions may involve users with accents or words which are not easily recognizable by speech recognition algorithms (eg. shortenings or abbreviations) which may be improperly translated and not accurately interpreted by these models, resulting in feedback which is, at least partially, not valuable as the core data being it is incorrect. ",Disagree,Neutral,Agree,Neutral,No,Yes
R_2CqwYvmt5fFc3fL,"Collecting data from group conversation and analyze the sentences from several aspects， like tones, emotions.",Strongly agree,,Agree,Strongly agree,Agree,Agree,Yes,Maybe
